                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4142,                  2.679,                 1.6157,                  0.005,                      1,                0.44276,                0.24538,                 1.5981,                 3.1757,                 1.8155,                    0.1,                      0,                      0
                      1,                 1.4507,                 2.6807,                 1.7445,                  0.005,                      1,                 0.4053,                0.22667,                 1.6003,                 3.1848,                  1.811,               0.099099,              9.901e-05,              9.901e-05
                      2,                 1.2218,                 2.5511,                 1.4484,                  0.005,                      1,                0.40592,                0.24104,                 1.6012,                 3.1957,                 1.8206,               0.098196,             0.00019604,             0.00019604
                      3,                 1.3037,                 2.6248,                 1.5075,                  0.005,                      1,                0.39489,                0.24409,                 1.6031,                 3.2001,                 1.8201,               0.097291,             0.00029109,             0.00029109
                      4,                 1.3586,                 2.5771,                 1.4514,                  0.005,                      1,                0.35722,                0.22011,                 1.5917,                 3.1942,                 1.8102,               0.096384,             0.00038416,             0.00038416
                      5,                 1.4913,                 2.6003,                 1.5525,                  0.005,                      1,                0.36622,                 0.2305,                 1.5613,                 3.1771,                 1.7879,               0.095475,             0.00047525,             0.00047525
                      6,                  1.446,                 2.6093,                 1.5822,                  0.005,                      1,                0.39034,                0.24416,                 1.5412,                 3.1637,                 1.7703,               0.094564,             0.00056436,             0.00056436
                      7,                 1.5648,                 2.5488,                 1.5947,                  0.005,                      1,                 0.3877,                0.24321,                 1.5254,                 3.1465,                   1.75,               0.093651,             0.00065149,             0.00065149
                      8,                 1.2944,                 2.5846,                 1.4058,                  0.005,                      1,                0.42488,                0.26209,                  1.504,                 3.1247,                 1.7228,               0.092737,             0.00073664,             0.00073664
                      9,                 1.1923,                 2.4685,                 1.4004,                  0.005,                      1,                0.45188,                0.27588,                 1.4714,                 3.1085,                 1.6917,                0.09182,             0.00081981,             0.00081981
                     10,                 1.0993,                 2.4771,                 1.4128,                  0.005,                      1,                0.45188,                0.27588,                 1.4714,                 3.1085,                 1.6917,               0.090901,               0.000901,               0.000901
                     11,                  1.296,                 2.4819,                 1.4234,                  0.005,                      1,                0.47605,                0.29492,                  1.445,                  3.058,                 1.6753,                0.08998,             0.00098021,             0.00098021
                     12,                 1.2816,                 2.4298,                 1.3812,                  0.005,                      1,                0.47605,                0.29492,                  1.445,                  3.058,                 1.6753,               0.089057,              0.0010574,              0.0010574
                     13,                 1.1171,                 2.4484,                 1.3495,                  0.005,                      1,                 0.5569,                0.34505,                 1.4121,                 3.0014,                 1.6424,               0.088133,              0.0011327,              0.0011327
                     14,                 1.1396,                 2.4483,                 1.2649,                  0.005,                      1,                 0.5569,                0.34505,                 1.4121,                 3.0014,                 1.6424,               0.087206,               0.001206,               0.001206
                     15,                 1.1604,                 2.5286,                 1.5424,                  0.005,                      1,                 0.5823,                0.37763,                 1.3576,                  2.968,                 1.6075,               0.086277,              0.0012772,              0.0012772
                     16,                 1.1632,                 2.3235,                 1.5096,                  0.005,                      1,                 0.5823,                0.37763,                 1.3576,                  2.968,                 1.6075,               0.085347,              0.0013466,              0.0013466
                     17,                 1.0803,                 2.3586,                 1.2898,                  0.005,                      1,                 0.6007,                0.39159,                 1.2993,                 2.9344,                 1.5423,               0.084414,              0.0014139,              0.0014139
                     18,                 1.0822,                 2.3104,                 1.2584,                  0.005,                      1,                 0.6007,                0.39159,                 1.2993,                 2.9344,                 1.5423,               0.083479,              0.0014792,              0.0014792
                     19,                  1.137,                 2.2617,                 1.3419,                  0.005,                      1,                0.66297,                0.43863,                 1.2252,                 2.9154,                 1.4585,               0.082543,              0.0015426,              0.0015426
                     20,                0.92431,                 2.3082,                 1.2518,                  0.005,                      1,                0.66297,                0.43863,                 1.2252,                 2.9154,                 1.4585,               0.081604,               0.001604,               0.001604
                     21,                 1.0161,                 2.2628,                 1.3653,                  0.005,                      1,                0.69397,                0.45995,                 1.1871,                 2.8836,                  1.437,               0.080663,              0.0016634,              0.0016634
                     22,                  1.166,                 2.2925,                   1.28,                  0.005,                      1,                0.69397,                0.45995,                 1.1871,                 2.8836,                  1.437,               0.079721,              0.0017208,              0.0017208
                     23,                 1.1722,                 2.2332,                 1.3557,                  0.005,                      1,                 0.7764,                0.46093,                 1.1504,                 2.9059,                 1.4124,               0.078776,              0.0017763,              0.0017763
                     24,                 1.1128,                 2.1516,                 1.3022,                  0.005,                      1,                 0.7764,                0.46093,                 1.1504,                 2.9059,                 1.4124,                0.07783,              0.0018298,              0.0018298
                     25,                0.96408,                 2.0275,                 1.2433,                  0.005,                      1,                 0.8287,                0.48155,                 1.1857,                 2.8718,                 1.3946,               0.076881,              0.0018812,              0.0018812
                     26,                 0.9161,                 2.0818,                 1.1557,                  0.005,                      1,                 0.8287,                0.48155,                 1.1857,                 2.8718,                 1.3946,               0.075931,              0.0019308,              0.0019308
                     27,                 1.1645,                 2.0033,                 1.3004,                  0.005,                      1,                0.85854,                0.52333,                 1.2063,                 2.8239,                 1.4158,               0.074978,              0.0019783,              0.0019783
                     28,                0.91704,                 1.8368,                 1.2169,                  0.005,                      1,                0.85854,                0.52333,                 1.2063,                 2.8239,                 1.4158,               0.074024,              0.0020238,              0.0020238
                     29,                0.97372,                 2.0351,                 1.4644,                  0.005,                      1,                0.85854,                0.52333,                 1.2063,                 2.8239,                 1.4158,               0.073067,              0.0020674,              0.0020674
                     30,                 1.0278,                 2.0074,                 1.2862,                  0.005,                      1,                0.90011,                0.52693,                 1.1994,                 2.8024,                 1.4086,               0.072109,               0.002109,               0.002109
                     31,                0.94128,                 1.8454,                 1.1811,                  0.005,                      1,                0.90011,                0.52693,                 1.1994,                 2.8024,                 1.4086,               0.071149,              0.0021486,              0.0021486
                     32,                0.93636,                 1.7979,                 1.1467,                  0.005,                      1,                0.90011,                0.52693,                 1.1994,                 2.8024,                 1.4086,               0.070186,              0.0021862,              0.0021862
                     33,                 1.0991,                 2.0003,                 1.5643,                0.01251,                      1,                0.89698,                0.52668,                 1.2098,                 2.7566,                 1.4249,               0.069222,              0.0022219,              0.0022219
                     34,                 1.0032,                 1.8767,                 1.2478,                0.01251,                      1,                0.89698,                0.52668,                 1.2098,                 2.7566,                 1.4249,               0.068256,              0.0022556,              0.0022556
                     35,                  0.851,                 1.7343,                 1.0728,                0.01251,                      1,                0.89698,                0.52668,                 1.2098,                 2.7566,                 1.4249,               0.067287,              0.0022873,              0.0022873
                     36,                0.86301,                 1.6918,                 1.1365,                      1,                0.61769,                0.91051,                 0.5246,                 1.2934,                  2.697,                 1.4704,               0.066317,               0.002317,               0.002317
                     37,                0.92781,                  1.498,                 1.1477,                      1,                0.61769,                0.91051,                 0.5246,                 1.2934,                  2.697,                 1.4704,               0.065345,              0.0023447,              0.0023447
                     38,                0.99989,                 1.9149,                 1.3136,                      1,                0.61769,                0.91051,                 0.5246,                 1.2934,                  2.697,                 1.4704,                0.06437,              0.0023704,              0.0023704
                     39,                0.92609,                 1.6672,                 1.1673,                      1,                0.29185,                0.92513,                0.56026,                 1.2953,                 2.6219,                  1.478,               0.063394,              0.0023942,              0.0023942
                     40,                0.92629,                 1.3853,                 1.2155,                      1,                0.29185,                0.92513,                0.56026,                 1.2953,                 2.6219,                  1.478,               0.062416,               0.002416,               0.002416
                     41,                0.94655,                 1.6699,                  1.246,                      1,                0.29185,                0.92513,                0.56026,                 1.2953,                 2.6219,                  1.478,               0.061436,              0.0024358,              0.0024358
                     42,                  0.816,                 1.5999,                 1.1078,                      1,                0.33424,                0.96833,                 0.5408,                 1.3756,                 2.5172,                 1.5217,               0.060454,              0.0024536,              0.0024536
                     43,                 1.1007,                 1.5292,                  1.368,                      1,                0.33424,                0.96833,                 0.5408,                 1.3756,                 2.5172,                 1.5217,               0.059469,              0.0024695,              0.0024695
                     44,                0.81669,                 1.4451,                 1.0745,                      1,                0.33424,                0.96833,                 0.5408,                 1.3756,                 2.5172,                 1.5217,               0.058483,              0.0024834,              0.0024834
                     45,                0.90562,                 1.4069,                 1.2294,                      1,                 0.4941,                0.94794,                0.52559,                 1.4194,                  2.474,                 1.5407,               0.057495,              0.0024953,              0.0024953
                     46,                0.76745,                 1.2704,                  1.094,                      1,                 0.4941,                0.94794,                0.52559,                 1.4194,                  2.474,                 1.5407,               0.056505,              0.0025052,              0.0025052
                     47,                0.89815,                  1.515,                 1.1581,                      1,                 0.4941,                0.94794,                0.52559,                 1.4194,                  2.474,                 1.5407,               0.055513,              0.0025131,              0.0025131
                     48,                0.86137,                 1.3255,                 1.1663,                      1,                 0.4941,                0.94794,                0.52559,                 1.4194,                  2.474,                 1.5407,               0.054519,               0.002519,               0.002519
                     49,                0.82985,                 1.4099,                 1.2424,                      1,                0.76882,                0.98885,                0.61057,                 1.3156,                 2.3403,                 1.4887,               0.053523,               0.002523,               0.002523
                     50,                0.70965,                 1.1348,                 1.1203,                      1,                0.76882,                0.98885,                0.61057,                 1.3156,                 2.3403,                 1.4887,               0.052525,               0.002525,               0.002525
                     51,                0.71244,                 1.2772,                 1.0698,                      1,                0.76882,                0.98885,                0.61057,                 1.3156,                 2.3403,                 1.4887,               0.051525,               0.002525,               0.002525
                     52,                0.95422,                 1.4001,                 1.1641,                      1,                0.76882,                0.98885,                0.61057,                 1.3156,                 2.3403,                 1.4887,               0.050523,               0.002523,               0.002523
                     53,                0.76947,                  1.246,                 1.0731,                0.94286,                0.91667,                  0.979,                0.59488,                 1.2897,                 2.2944,                 1.5068,               0.049519,              0.0025191,              0.0025191
                     54,                 1.0813,                 1.5029,                 1.2787,                0.94286,                0.91667,                  0.979,                0.59488,                 1.2897,                 2.2944,                 1.5068,               0.048513,              0.0025132,              0.0025132
                     55,                0.92211,                 1.2594,                  1.198,                0.94286,                0.91667,                  0.979,                0.59488,                 1.2897,                 2.2944,                 1.5068,               0.047505,              0.0025053,              0.0025053
                     56,                0.76468,                 1.2737,                 1.1787,                0.94286,                0.91667,                  0.979,                0.59488,                 1.2897,                 2.2944,                 1.5068,               0.046495,              0.0024954,              0.0024954
                     57,                0.86424,                 1.4205,                 1.1571,                0.89345,                0.91667,                0.98357,                0.60637,                 1.2962,                 2.1648,                  1.484,               0.045483,              0.0024835,              0.0024835
                     58,                0.85638,                 1.4476,                 1.1447,                0.89345,                0.91667,                0.98357,                0.60637,                 1.2962,                 2.1648,                  1.484,                0.04447,              0.0024696,              0.0024696
                     59,                0.69919,                  1.172,                 1.0233,                0.89345,                0.91667,                0.98357,                0.60637,                 1.2962,                 2.1648,                  1.484,               0.043454,              0.0024538,              0.0024538
                     60,                0.83793,                 1.3668,                 1.1122,                0.89345,                0.91667,                0.98357,                0.60637,                 1.2962,                 2.1648,                  1.484,               0.042436,               0.002436,               0.002436
                     61,                0.80593,                 1.3383,                 1.1199,                0.92076,                0.96988,                0.98269,                0.58652,                 1.3653,                 2.0803,                 1.5535,               0.041416,              0.0024162,              0.0024162
                     62,                0.78136,                 1.2155,                 1.1388,                0.92076,                0.96988,                0.98269,                0.58652,                 1.3653,                 2.0803,                 1.5535,               0.040394,              0.0023944,              0.0023944
                     63,                0.92858,                 1.3124,                 1.1287,                0.92076,                0.96988,                0.98269,                0.58652,                 1.3653,                 2.0803,                 1.5535,               0.039371,              0.0023707,              0.0023707
                     64,                0.78885,                 1.4409,                 1.2541,                0.92076,                0.96988,                0.98269,                0.58652,                 1.3653,                 2.0803,                 1.5535,               0.038345,               0.002345,               0.002345
                     65,                0.83103,                 1.1795,                 1.0652,                0.92076,                0.96988,                0.98269,                0.58652,                 1.3653,                 2.0803,                 1.5535,               0.037317,              0.0023172,              0.0023172
                     66,                0.79515,                 1.0903,                  1.035,                 0.8936,                      1,                0.97577,                0.55261,                 1.4325,                  2.048,                 1.5978,               0.036288,              0.0022876,              0.0022876
                     67,                0.86713,                  1.194,                 1.2028,                 0.8936,                      1,                0.97577,                0.55261,                 1.4325,                  2.048,                 1.5978,               0.035256,              0.0022559,              0.0022559
                     68,                 0.7449,                  1.176,                 1.0118,                 0.8936,                      1,                0.97577,                0.55261,                 1.4325,                  2.048,                 1.5978,               0.034222,              0.0022222,              0.0022222
                     69,                0.76691,                 1.1798,                 1.0495,                 0.8936,                      1,                0.97577,                0.55261,                 1.4325,                  2.048,                 1.5978,               0.033187,              0.0021866,              0.0021866
                     70,                0.74303,                 1.1708,                 1.0537,                 0.8936,                      1,                0.97577,                0.55261,                 1.4325,                  2.048,                 1.5978,               0.032149,               0.002149,               0.002149
                     71,                0.99767,                 1.1198,                 1.2571,                0.89601,                      1,                0.97577,                0.58004,                 1.3827,                 1.9917,                 1.5659,               0.031109,              0.0021094,              0.0021094
                     72,                0.85486,                 1.2049,                 1.1196,                0.89601,                      1,                0.97577,                0.58004,                 1.3827,                 1.9917,                 1.5659,               0.030068,              0.0020678,              0.0020678
                     73,                0.66874,                 1.0628,                 1.0183,                0.89601,                      1,                0.97577,                0.58004,                 1.3827,                 1.9917,                 1.5659,               0.029024,              0.0020243,              0.0020243
                     74,                 0.7966,                 1.3195,                 1.1843,                0.89601,                      1,                0.97577,                0.58004,                 1.3827,                 1.9917,                 1.5659,               0.027979,              0.0019788,              0.0019788
                     75,                0.83799,                 1.1754,                 1.1994,                0.89601,                      1,                0.97577,                0.58004,                 1.3827,                 1.9917,                 1.5659,               0.026931,              0.0019313,              0.0019313
                     76,                0.83955,                 1.2838,                 1.1923,                0.91649,                0.91478,                0.96483,                0.59097,                 1.4248,                 1.9201,                  1.639,               0.025882,              0.0018818,              0.0018818
                     77,                0.77226,                 1.0102,                  1.106,                0.91649,                0.91478,                0.96483,                0.59097,                 1.4248,                 1.9201,                  1.639,                0.02483,              0.0018303,              0.0018303
                     78,                0.77685,                 1.1954,                 1.1714,                0.91649,                0.91478,                0.96483,                0.59097,                 1.4248,                 1.9201,                  1.639,               0.023777,              0.0017768,              0.0017768
                     79,                0.78104,                 1.1447,                 1.1134,                0.91649,                0.91478,                0.96483,                0.59097,                 1.4248,                 1.9201,                  1.639,               0.022721,              0.0017214,              0.0017214
                     80,                0.65721,                 1.0037,                 1.1031,                0.91649,                0.91478,                0.96483,                0.59097,                 1.4248,                 1.9201,                  1.639,               0.021664,               0.001664,               0.001664
                     81,                0.72923,                 1.0096,                 1.0146,                0.90925,                0.91667,                 0.9769,                0.58242,                 1.4132,                 1.8539,                 1.6279,               0.020605,              0.0016046,              0.0016046
                     82,                0.63721,                 1.0399,                 1.0125,                0.90925,                0.91667,                 0.9769,                0.58242,                 1.4132,                 1.8539,                 1.6279,               0.019543,              0.0015432,              0.0015432
                     83,                0.60142,                0.87184,                  1.019,                0.90925,                0.91667,                 0.9769,                0.58242,                 1.4132,                 1.8539,                 1.6279,                0.01848,              0.0014799,              0.0014799
                     84,                0.77796,                 1.1129,                 1.0833,                0.90925,                0.91667,                 0.9769,                0.58242,                 1.4132,                 1.8539,                 1.6279,               0.017415,              0.0014146,              0.0014146
                     85,                0.60145,                0.96119,                 1.0287,                0.90925,                0.91667,                 0.9769,                0.58242,                 1.4132,                 1.8539,                 1.6279,               0.016347,              0.0013473,              0.0013473
